,match_broad,freq
0,B12,0.12643000000000001
1,B13,0.03531000000000001
2,B14,0.024810000000000002
3,B15,0.07218
4,B16,0.04403
5,B17,0.04127
6,B18,0.051800000000000006
7,B21,0.029509999999999998
8,B22,0.02451
9,B27,0.04238000000000001
10,B35,0.10424
11,B37,0.01344
12,B40,0.0662
13,B41,0.01163
14,B42,0.00037
15,B46,0.0004
16,B47,0.00314
17,B48,0.00072
18,B5,0.07819000000000001
19,B53,0.00332
20,B59,1e-05
21,B67,6e-05
22,B7,0.12548
23,B70,0.0044
24,B73,0.0008
25,B78,3e-05
26,B8,0.09553
27,B81,1e-05
28,B82,1e-05
